path,final_url,status_code,title,recommended_action,section
"/ellisjoycemonthly/gwenjustin-november","https://www.ellis-joyce.com/ellisjoycemonthly/gwenjustin-november",200,"Gwen+Justin November 2024 &mdash; Gwendolyn and Justin Ellis-Joyce",rebuild-same-path,blogs-cv
"/ellisjoycemonthly/justin-gwen-december","https://www.ellis-joyce.com/ellisjoycemonthly/justin-gwen-december",200,"Justin + Gwen December &mdash; Gwendolyn and Justin Ellis-Joyce",rebuild-same-path,blogs-cv
"/ellisjoycemonthly/tag/monthly","https://www.ellis-joyce.com/ellisjoycemonthly/tag/monthly",200,"monthly &mdash; Blog 3 &mdash; Gwendolyn and Justin Ellis-Joyce",rebuild-same-path,blogs-cv
"/gwen","https://www.ellis-joyce.com/gwen",200,"General 3 &mdash; Gwendolyn and Justin Ellis-Joyce",rebuild-same-path,blogs-cv
"/home","https://www.ellis-joyce.com/home",200,"Gwendolyn and Justin Ellis-Joyce",redirect-to-/,general
"/justin","https://www.ellis-joyce.com/justin",404,"Gwendolyn and Justin Ellis-Joyce",rebuild-same-path,blogs-cv
"/photography","https://www.ellis-joyce.com/photography",200,"Photography &mdash; Gwendolyn and Justin Ellis-Joyce",rebuild-same-path,photography
"/photography/florida-2025","https://www.ellis-joyce.com/photography/florida-2025",200,"Florida 2025 &mdash; Gwendolyn and Justin Ellis-Joyce",rebuild-same-path,photography
"/photography/md2024","https://www.ellis-joyce.com/photography/md2024",200,"Mid-Atlantic 2024 &mdash; Gwendolyn and Justin Ellis-Joyce",rebuild-same-path,photography
"/photography/peru","https://www.ellis-joyce.com/photography/peru",200,"Peru Birds &mdash; Gwendolyn and Justin Ellis-Joyce",rebuild-same-path,photography
"/registry","https://www.ellis-joyce.com/registry",200,"Registry &mdash; Gwendolyn and Justin Ellis-Joyce",rebuild-same-path,wedding
"/rsvp","https://www.ellis-joyce.com/rsvp",200,"RSVP 1 &mdash; Gwendolyn and Justin Ellis-Joyce",rebuild-same-path,wedding
"/search","https://www.ellis-joyce.com/search",200,"Gwendolyn and Justin Ellis-Joyce",drop-or-redirect,system
"/shuttle-rsvp","https://www.ellis-joyce.com/shuttle-rsvp",200,"RSVP 1 &mdash; Gwendolyn and Justin Ellis-Joyce",rebuild-same-path,wedding
"/weddinghome","https://www.ellis-joyce.com/weddinghome",200,"Wedding Home &mdash; Gwendolyn and Justin Ellis-Joyce",rebuild-same-path,wedding
"/weddingphotos","https://www.ellis-joyce.com/weddingphotos",200,"Wedding Photos &mdash; Gwendolyn and Justin Ellis-Joyce",rebuild-same-path,wedding
